text,emotion_risk,emotion
"Sometimes, it feels like there??s no way out of this pressure.",negative-high-risk,suicidal ideation
"Sometimes, i punish myself with food when grades are bad.",negative-high-risk,eating disorder
"Sometimes, i don??t want to continue with this degree anymore.",negative-high-risk,suicidal ideation
"Honestly, i punish myself with food when grades are bad.",negative-high-risk,eating disorder
"Honestly, i binge at night and hate myself after.",negative-high-risk,eating disorder
"Sometimes, physical pain feels like a distraction from mental stress.",negative-high-risk,self-harm
Presenting last year triggered memories of my past trauma.,negative-high-risk,PTSD
I don??t want to continue with this degree anymore.,negative-high-risk,suicidal ideation
"Honestly, i study alone most of the time and it feels isolating.",negative-no-risk,loneliness
"Even though I study hard, the results don??t show.",negative-no-risk,sadness
Our team nailed the GenAI presentation today! It??s just too much.,positive,joy
I haven??t really spoken to anyone all week. It??s just too much.,negative-no-risk,loneliness
I need a few drinks just to sleep after study marathons. It??s just too much.,negative-high-risk,substance abuse
"Sometimes, i??ve been feeling low since i got a bad grade last week.",negative-no-risk,sadness
"Sometimes, physical pain feels like a distraction from mental stress.",negative-high-risk,self-harm
"Sometimes, i??ve had thoughts of not waking up tomorrow.",negative-high-risk,suicidal ideation
I'm nervous I won't meet the expectations of the group. It??s just too much.,negative-no-risk,anxiety
"Sometimes, balancing coursework and job applications is exhausting.",negative-no-risk,stress
Deadlines trigger flashbacks of earlier breakdowns.,negative-high-risk,PTSD
Our team nailed the GenAI presentation today!,positive,joy
I need a few drinks just to sleep after study marathons. It??s just too much.,negative-high-risk,substance abuse
"Honestly, i punish myself with food when grades are bad.",negative-high-risk,eating disorder
"Honestly, ram's feedback made me feel proud of our progress.",positive,joy
"Honestly, i need a few drinks just to sleep after study marathons.",negative-high-risk,substance abuse
"Sometimes, i'm overwhelmed by multiple deadlines this week.",negative-no-risk,stress
I haven??t really spoken to anyone all week.,negative-no-risk,loneliness
"Honestly, i finally understood how transformer models work!",positive,joy
I don??t want to continue with this degree anymore. It??s just too much.,negative-high-risk,suicidal ideation
"Honestly, i need a few drinks just to sleep after study marathons.",negative-high-risk,substance abuse
"Sometimes, my body shuts down in stressful academic settings.",negative-high-risk,PTSD
I??m stressed about presenting in front of the class.,negative-no-risk,stress
"Sometimes, sometimes i cut just to release the stress.",negative-high-risk,self-harm
"When I feel stressed, I either starve or overeat. It??s just too much.",negative-high-risk,eating disorder
There's too much to study and too little time. It??s just too much.,negative-no-risk,stress
"Honestly, the pressure makes me want to do harmful things to myself.",negative-high-risk,self-harm
Sometimes I feel like ending it all would be easier. It??s just too much.,negative-high-risk,suicidal ideation
"Honestly, i study alone most of the time and it feels isolating.",negative-no-risk,loneliness
"Honestly, i finally understood how transformer models work!",positive,joy
"Honestly, the pressure makes me want to do harmful things to myself.",negative-high-risk,self-harm
I??m stressed about presenting in front of the class.,negative-no-risk,stress
Deadlines trigger flashbacks of earlier breakdowns.,negative-high-risk,PTSD
"Honestly, sometimes i feel like ending it all would be easier.",negative-high-risk,suicidal ideation
No one replied in our team chat and I feel left out.,negative-no-risk,sadness
"Honestly, sometimes i cut just to release the stress.",negative-high-risk,self-harm
"Sometimes, i skip meals during stressful weeks without noticing.",negative-high-risk,eating disorder
"Sometimes, i'm nervous i won't meet the expectations of the group.",negative-no-risk,anxiety
"Honestly, i hurt myself when i feel like i??m failing.",negative-high-risk,self-harm
"Honestly, when i feel stressed, i either starve or overeat.",negative-high-risk,eating disorder
"Honestly, i hurt myself when i feel like i??m failing.",negative-high-risk,self-harm
Group work has made me feel more alone than ever. It??s just too much.,negative-no-risk,loneliness
I??m stressed about presenting in front of the class.,negative-no-risk,stress
"Honestly, my body shuts down in stressful academic settings.",negative-high-risk,PTSD
I'm overwhelmed by multiple deadlines this week. It??s just too much.,negative-no-risk,stress
"When I feel stressed, I either starve or overeat. It??s just too much.",negative-high-risk,eating disorder
"Even though I study hard, the results don??t show.",negative-no-risk,sadness
I need a few drinks just to sleep after study marathons. It??s just too much.,negative-high-risk,substance abuse
"Sometimes, i??ve been feeling low since i got a bad grade last week.",negative-no-risk,sadness
I punish myself with food when grades are bad. It??s just too much.,negative-high-risk,eating disorder
"Honestly, even though i study hard, the results don??t show.",negative-no-risk,sadness
No one replied in our team chat and I feel left out. It??s just too much.,negative-no-risk,sadness
"Sometimes, there's too much to study and too little time.",negative-no-risk,stress
Ram's feedback made me feel proud of our progress.,positive,joy
The pressure makes me want to do harmful things to myself.,negative-high-risk,self-harm
"Honestly, i haven??t really spoken to anyone all week.",negative-no-risk,loneliness
"Honestly, it feels like there??s no way out of this pressure.",negative-high-risk,suicidal ideation
"Sometimes, i finally understood how transformer models work!",positive,joy
"Sometimes, the pressure makes me want to do harmful things to myself.",negative-high-risk,self-harm
"Honestly, i skip meals during stressful weeks without noticing.",negative-high-risk,eating disorder
"Sometimes, no one replied in our team chat and i feel left out.",negative-no-risk,sadness
"Honestly, i don??t want to continue with this degree anymore.",negative-high-risk,suicidal ideation
"Honestly, i need a few drinks just to sleep after study marathons.",negative-high-risk,substance abuse
"Honestly, i feel like i??m not contributing enough to the team.",negative-no-risk,sadness
Some days I can't focus because my mind replays the past. It??s just too much.,negative-high-risk,PTSD
"Honestly, it feels like there??s no way out of this pressure.",negative-high-risk,suicidal ideation
"Sometimes, i need a few drinks just to sleep after study marathons.",negative-high-risk,substance abuse
I hurt myself when I feel like I??m failing.,negative-high-risk,self-harm
"Honestly, sometimes i feel like ending it all would be easier.",negative-high-risk,suicidal ideation
The pressure makes me want to do harmful things to myself. It??s just too much.,negative-high-risk,self-harm
What if I completely mess up the assignment? It??s just too much.,negative-no-risk,anxiety
"Honestly, i'm nervous i won't meet the expectations of the group.",negative-no-risk,anxiety
No one replied in our team chat and I feel left out.,negative-no-risk,sadness
"Sometimes, deadlines trigger flashbacks of earlier breakdowns.",negative-high-risk,PTSD
"Honestly, i??m stressed about presenting in front of the class.",negative-no-risk,stress
Deadlines trigger flashbacks of earlier breakdowns.,negative-high-risk,PTSD
"Sometimes, there's too much to study and too little time.",negative-no-risk,stress
"When I feel stressed, I either starve or overeat.",negative-high-risk,eating disorder
"Sometimes, the pressure makes me want to do harmful things to myself.",negative-high-risk,self-harm
"Sometimes, i study alone most of the time and it feels isolating.",negative-no-risk,loneliness
"Honestly, i binge at night and hate myself after.",negative-high-risk,eating disorder
"Sometimes, i'm nervous i won't meet the expectations of the group.",negative-no-risk,anxiety
I binge at night and hate myself after. It??s just too much.,negative-high-risk,eating disorder
I love working on these AI assignments when it clicks.,positive,joy
"Sometimes, i feel disconnected from my group lately.",negative-no-risk,sadness
I haven??t slept properly in days because of the GenAI project.,negative-no-risk,stress
"Sometimes, every time i open the assignment, i freeze.",negative-no-risk,anxiety
"Honestly, sometimes i feel like ending it all would be easier.",negative-high-risk,suicidal ideation
"Sometimes, the pressure makes me want to do harmful things to myself.",negative-high-risk,self-harm
"Honestly, i've been drinking more often to calm down after assignments.",negative-high-risk,substance abuse
I'm nervous I won't meet the expectations of the group.,negative-no-risk,anxiety
